Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20035932,Humanities,English Language and Literature,University of Notre Dame,English,53,47.53,17%,66%,46,66,11,6.3%,42.9%,100%,,,
20051673,Humanities,English Language and Literature,University of Oklahoma Norman Campus,English,60,38.82,17%,78%,30,33,5,6.5%,35.5%,,,20%,20%
20043885,Humanities,English Language and Literature,University of Oregon,English,42,39.54,21%,64%,41,58,12.2,0%,0%,0%,0%,37.5%,0%
20036915,Humanities,English Language and Literature,University of Pennsylvania,English,47,39.74,21%,66%,41,82,11.2,0%,40.3%,23.1%,0%,0%,0%
20049669,Humanities,English Language and Literature,University of Pittsburgh Pittsburgh Campus,English,68,50.51,13%,79%,47,71,10.8,0%,64.7%,100%,0%,0%,0%
20069238,Humanities,English Language and Literature,University of Rochester,English,19,18.5,26%,74%,18,46,8,0%,10.9%,100%,0%,0%,0%
20067793,Humanities,English Language and Literature,University of South Carolina Columbia,English,36,34.26,19%,78%,35,77,17,0%,93.7%,0%,0%,9.1%,0%
20024862,Humanities,English Language and Literature,University of South Florida,English,32,28.82,6%,78%,26,55,10.6,0%,0%,0%,0%,0%,0%
20068145,Humanities,English Language and Literature,University of Southern California,English,43,40.75,9%,91%,39,113,14,0%,70.8%,40%,0%,0%,0%
20032786,Humanities,English Language and Literature,University of Southern Mississippi,English,23,23,9%,65%,23,56,9.2,0%,64.5%,0%,0%,0%,0%
20045799,Humanities,English Language and Literature,University of Tennessee,English,71,47.11,10%,76%,41,55,8.8,2.8%,19.4%,0%,0%,100%,0%
20061524,Humanities,English Language and Literature,University of Texas At Austin,English,82,69.85,22%,74%,76,175,25.2,0%,98.2%,0%,0%,0%,0%
20056212,Humanities,English Language and Literature,University of Texas At Dallas,Studies in Literature,13,12.5,8%,92%,12,164,59,,,,,,
20047551,Humanities,English Language and Literature,University of Utah,English,31,30.01,26%,71%,31,58,10.8,0%,0%,100%,0%,0%,0%
20023232,Humanities,English Language and Literature,University of Virginia,English Language & Literature,52,50.08,10%,90%,49,153,17.4,0%,26.1%,29.4%,0%,70.6%,0%
20059620,Humanities,English Language and Literature,University of Washington,English,95,61.89,12%,84%,62,135,27.4,3.7%,67.9%,7.4%,0%,29.6%,0%
20030571,Humanities,English Language and Literature,University of Wisconsin-Madison,English,47,43.61,21%,,46,163,24.4,0%,89.2%,0%,0%,0%,0%
20026637,Humanities,English Language and Literature,University of Wisconsin-Milwaukee,English,44,40,18%,80%,36,125,40.8,0%,70.3%,0%,0%,54.5%,0%
20051961,Humanities,English Language and Literature,Vanderbilt University,English,43,34.14,12%,88%,33,43,8.4,0%,73.7%,90%,0%,0%,0%
20058414,Humanities,English Language and Literature,Washington State University,English,41,32.15,15%,78%,34,35,9.4,0%,70.6%,41.7%,0%,0%,0%
20069827,Humanities,English Language and Literature,Washington University In St. Louis,English and American Literature,22,20.67,36%,64%,22,72,11,29.9%,29.9%,8.3%,,,
20021593,Humanities,English Language and Literature,Wayne State University,English,34,31.08,12%,79%,29,66,11,2.2%,73.3%,16.7%,0%,0%,0%
20044075,Humanities,English Language and Literature,Western Michigan University,English,42,36.79,26%,74%,34,53,8.8,0%,90%,0%,0%,0%,0%
20063454,Humanities,English Language and Literature,Yale University,English,49,39.9,24%,61%,49,65,11.2,0%,1.5%,82.4%,17.6%,0%,0%
20036148,Humanities,French and Francophone Language and Literature,Boston College,French and Francophone Language and Literature,8,8,0%,100%,8,10,1.75,0%,60%,0%,0%,0%,0%
20059167,Humanities,French and Francophone Language and Literature,Boston University,French Language and Literature,8,7.5,13%,75%,7,14,2,0%,90.9%,0%,0%,0%,0%
20018315,Humanities,French and Francophone Language and Literature,Brown University,French Studies,20,12.12,5%,35%,12,13,1.8,0%,38.5%,100%,0%,0%,0%
20057211,Humanities,French and Francophone Language and Literature,City University of New York Grad. Center,French,23,18.34,13%,83%,22,40,6.2,0%,0%,0%,0%,42.9%,0%
20057651,Humanities,French and Francophone Language and Literature,Columbia University In The City of New York,French and Romance Philology,9,9,22%,33%,9,39,5.6,0%,0%,100%,0%,0%,0%
20065423,Humanities,French and Francophone Language and Literature,Cornell University,Romance Studies - French,12,6.78,8%,75%,9,11,2.8,0%,72.7%,100%,,,
20070528,Humanities,French and Francophone Language and Literature,Duke University,Romance Studies - French,21,13.82,14%,71%,14,25,4.6,0%,44%,100%,0%,0%,0%
20061993,Humanities,French and Francophone Language and Literature,Emory University,French,27,12.81,7%,89%,12,32,4.8,0%,6.1%,80%,20%,0%,0%
20066338,Humanities,French and Francophone Language and Literature,Harvard University,Romance Languages and Literature,23,21.07,17%,,23,71,11.4,0%,0%,87.5%,0%,12.5%,0%
20046345,Humanities,French and Francophone Language and Literature,Indiana University At Bloomington,French,35,17.1,14%,80%,19,48,9.2,9.5%,59.5%,0%,0%,0%,0%
20056681,Humanities,French and Francophone Language and Literature,Johns Hopkins University,French,6,5.02,0%,83%,5,23,4.2,4.3%,52.2%,0%,0%,0%,0%
20058113,Humanities,French and Francophone Language and Literature,Louisiana State University And Agricultural And Mechanical College,French,27,14.11,7%,89%,14,28,4.8,21.1%,57.9%,0%,0%,0%,0%
20064314,Humanities,French and Francophone Language and Literature,New York University,French,17,15.42,0%,100%,17,61,9.8,0%,30.6%,36.4%,36.4%,27.3%,0%
20068899,Humanities,French and Francophone Language and Literature,Northwestern University,French and Italian,14,6.84,14%,86%,10,17,2.8,0%,52.9%,100%,0%,0%,0%
20029016,Humanities,French and Francophone Language and Literature,Ohio State University Main Campus,French and Italian,14,14,14%,79%,14,17,1.75,0%,87.5%,0%,0%,0%,0%
20031428,Humanities,French and Francophone Language and Literature,Penn State University,French,36,17.3,19%,83%,17,28,4.2,0%,80.8%,25%,0%,0%,0%
20032511,Humanities,French and Francophone Language and Literature,Princeton University,French and Italian,19,12.92,11%,74%,13,21,4.4,0%,0%,25%,75%,0%,0%
20041133,Humanities,French and Francophone Language and Literature,Rice University,French,7,6.71,29%,71%,7,18,2.8,0%,0%,66.7%,0%,0%,0%
20012560,Humanities,French and Francophone Language and Literature,Rutgers The State University of New Jersey New Brunswick Campus,French,15,12.38,0%,100%,15,24,3.8,0%,62.5%,33.3%,0%,0%,0%
20052601,Humanities,French and Francophone Language and Literature,Stanford University,French,14,9.5,21%,71%,11,11,1.8,9.1%,9.1%,100%,0%,0%,0%
20060923,Humanities,French and Francophone Language and Literature,University of California-Berkeley,French,14,10.39,7%,93%,13,24,4.2,0%,58.3%,100%,0%,0%,0%
20067188,Humanities,French and Francophone Language and Literature,University of California-Davis,French,23,13.2,22%,57%,9,18,4.2,0%,62.5%,0%,0%,0%,0%
20049180,Humanities,French and Francophone Language and Literature,University of California-Irvine,French,11,8.23,27%,73%,9,16,3.6,0%,75%,50%,0%,25%,0%
20053312,Humanities,French and Francophone Language and Literature,University of California-Los Angeles,French & Francophone Studies,16,11.72,13%,88%,13,25,4.8,0%,4.3%,66.7%,16.7%,0%,0%
20014597,Humanities,French and Francophone Language and Literature,University of Chicago,Romance Languages and Literatures,22,18.23,27%,73%,21,83,9.8,0%,41.3%,0%,0%,0%,0%
20063988,Humanities,French and Francophone Language and Literature,University of Colorado At Boulder,French,11,9.43,36%,55%,10,14,3.2,0%,69.2%,0%,0%,0%,0%
20024053,Humanities,French and Francophone Language and Literature,University of Connecticut,French PhD,12,7.48,8%,75%,6,12,3.67,0%,50%,0%,0%,50%,0%
20013459,Humanities,French and Francophone Language and Literature,University of Florida,Romance Languages: French,13,10.53,23%,77%,10,11,2,0%,63.6%,25%,0%,0%,25%
20039019,Humanities,French and Francophone Language and Literature,University of Illinois At Urbana-Champaign,French,26,13.04,23%,73%,14,14,1.8,15.4%,69.2%,0%,0%,0%,0%
20020581,Humanities,French and Francophone Language and Literature,University of Iowa,French,9,7.87,11%,89%,9,15,1.4,0%,73.3%,0%,0%,0%,0%
20012887,Humanities,French and Francophone Language and Literature,University of Louisiana At Lafayette,Francophone Studies,15,13.07,20%,80%,12,21,7.2,5.6%,61.1%,0%,0%,0%,0%
20050373,Humanities,French and Francophone Language and Literature,University of Maryland College Park,Modern French Studies,12,10.23,17%,75%,10,21,3.2,0%,64.7%,12.5%,0%,0%,0%
20035783,Humanities,French and Francophone Language and Literature,University of Michigan-Ann Arbor,Romance Languages and Literature - French,24,7.38,8%,92%,12,13,2.4,0%,76.9%,100%,0%,0%,0%
20039912,Humanities,French and Francophone Language and Literature,University of Minnesota-Twin Cities,French,14,13.94,7%,71%,14,20,2.4,0%,88.9%,0%,0%,0%,0%
20070641,Humanities,French and Francophone Language and Literature,University of North Carolina At Chapel Hill,Romance Languages - French,12,11.41,8%,67%,12,11,2.33,0%,81.8%,*,*,*,*
20036928,Humanities,French and Francophone Language and Literature,University of Pennsylvania,French,7,5.49,0%,71%,7,19,4.6,0%,57.9%,100%,0%,0%,0%
20049698,Humanities,French and Francophone Language and Literature,University of Pittsburgh Pittsburgh Campus,French and Italian Languages and Literatures,13,11.57,23%,62%,12,13,1.75,0%,53.8%,0%,0%,0%,0%
20061537,Humanities,French and Francophone Language and Literature,University of Texas At Austin,French,14,11.76,14%,86%,14,33,2.6,0%,63.6%,0%,0%,0%,0%
20023261,Humanities,French and Francophone Language and Literature,University of Virginia,French Language & Literature,14,13.5,21%,64%,13,42,8.4,0%,35.4%,55.6%,0%,11.1%,0%
20030623,Humanities,French and Francophone Language and Literature,University of Wisconsin-Madison,French,36,19.2,14%,,16,42,6,0%,62.5%,0%,0%,0%,0%
20051987,Humanities,French and Francophone Language and Literature,Vanderbilt University,French,20,10.81,10%,80%,11,10,2.25,0%,20%,100%,0%,0%,0%
20069856,Humanities,French and Francophone Language and Literature,Washington University In St. Louis,French Language and Literatures,6,4.64,33%,67%,5,13,2.4,0%,46.7%,,,,
20063506,Humanities,French and Francophone Language and Literature,Yale University,French,13,11.76,8%,62%,13,29,4.4,0%,3.4%,50%,25%,0%,0%
20057677,Humanities,German Language and Literature,Columbia University In The City of New York,Germanic Languages,10,8.06,10%,60%,8,28,4,0%,0%,71.4%,0%,28.6%,0%
20015813,Humanities,German Language and Literature,Cornell University,Germanic Studies,12,8.55,8%,83%,12,21,2.6,0%,38.1%,100%,0%,0%,0%
20022990,Humanities,German Language and Literature,Georgetown University,German,14,8.62,0%,100%,8,15,3.2,40%,26.7%,0%,0%,0%,0%
20030157,Humanities,German Language and Literature,Duke University,German Studies,18,8.08,6%,78%,8,13,2.4,0%,38.5%,100%,0%,0%,0%
20066053,Humanities,German Language and Literature,Harvard University,Germanic Lang. & Lit.,13,8.55,8%,,9,19,3.6,0%,0%,100%,0%,0%,0%
20046387,Humanities,German Language and Literature,Indiana University At Bloomington,Germanic Studies,20,8.9,10%,85%,10,25,4,0%,36%,0%,0%,20%,0%
20056717,Humanities,German Language and Literature,Johns Hopkins University,German,6,4.55,33%,50%,5,17,2.6,0%,52.9%,0%,0%,0%,0%
20040794,Humanities,German Language and Literature,Kent State University Main Campus,History,23,18.65,30%,74%,17,32,3,,,,,,
20029058,Humanities,German Language and Literature,Ohio State University Main Campus,Germanic Languages and Literatures,11,11,0%,91%,11,16,3,0%,50%,33.3%,0%,0%,0%
20064330,Humanities,German Language and Literature,New York University,German,5,4.52,0%,80%,5,27,4,0%,37.9%,100%,0%,0%,0%
20031460,Humanities,German Language and Literature,Penn State University,German,26,10.83,12%,77%,10,23,3,0%,57.1%,0%,0%,0%,0%
20032537,Humanities,German Language and Literature,Princeton University,German,11,9.44,27%,82%,10,20,3.8,0%,0%,75%,0%,0%,0%
20052643,Humanities,German Language and Literature,Stanford University,German Studies,8,6.2,25%,50%,6,10,1.8,10%,30%,100%,0%,0%,0%
20060949,Humanities,German Language and Literature,University of California-Berkeley,German,11,9.7,0%,100%,10,33,7.4,0%,42.4%,0%,25%,75%,0%
20053367,Humanities,German Language and Literature,University of California-Los Angeles,Germanic Languages,16,10.14,6%,94%,10,11,2,0%,18.2%,50%,0%,50%,0%
20014393,Humanities,German Language and Literature,University of Chicago,Germanic Studies,13,6.38,31%,69%,7,23,3.6,0%,0%,0%,0%,0%,0%
20042572,Humanities,German Language and Literature,University of Houston,History,29,29,7%,93%,29,68,16.8,10.3%,89.7%,,,,
20042873,Humanities,German Language and Literature,University of Illinois At Chicago,Germanic Studies,8,7.6,25%,75%,8,10,3.2,0%,22.2%,0%,0%,0%,0%
20039048,Humanities,German Language and Literature,University of Illinois At Urbana-Champaign,German,22,12.39,36%,50%,15,9,1.67,25%,37.5%,*,*,*,*
20051181,Humanities,German Language and Literature,University of Kansas,Germanic Languages and Literatures,7,7,43%,57%,7,12,2.6,0%,77.8%,0%,0%,0%,0%
20050247,Humanities,German Language and Literature,University of Maryland College Park,Germanic Language & Literature,8,6.9,0%,75%,7,10,1.8,0%,28.6%,66.7%,0%,0%,0%
20047975,Humanities,German Language and Literature,University of Massachusetts Amherst,German,15,8.5,0%,93%,8,21,2.2,0%,53.3%,0%,0%,0%,33.3%
20035453,Humanities,German Language and Literature,University of Michigan-Ann Arbor,Germanic Languages and Literatures,23,7.92,13%,87%,15,12,3.2,0%,91.7%,0%,0%,0%,0%
20039954,Humanities,German Language and Literature,University of Minnesota-Twin Cities,Germanic Studies,18,17.15,6%,94%,18,31,3.8,0%,45.2%,50%,0%,25%,0%
20045294,Humanities,German Language and Literature,University of North Carolina At Chapel Hill,Germanic Languages and Literatures,15,9.02,7%,80%,10,20,4.6,0%,65%,12.5%,0%,0%,0%
20061566,Humanities,German Language and Literature,University of Texas At Austin,Germanic Studies,44,17.46,11%,86%,17,35,9,0%,88.9%,22.2%,0%,0%,0%
20023274,Humanities,German Language and Literature,University of Virginia,German Language & Literature,9,9,11%,89%,9,14,2.4,0%,64.3%,25%,0%,0%,0%
20059701,Humanities,German Language and Literature,University of Washington,Germanics,14,10.41,14%,86%,11,24,5,4.8%,71.4%,0%,0%,0%,0%
20030681,Humanities,German Language and Literature,University of Wisconsin-Madison,German,17,16.75,6%,,17,47,7.4,13%,45.7%,66.7%,0%,0%,0%
20069869,Humanities,German Language and Literature,Washington University In St. Louis,Germanic Languages and Literature,9,8.48,44%,56%,9,37,4.8,0%,51.4%,100%,,,
20063535,Humanities,German Language and Literature,Yale University,Germanic Languages & Literatures,9,7,22%,78%,8,16,2.8,0%,0%,100%,0%,0%,0%
20060075,Humanities,History,American University,History,13,13,38%,62%,13,46,7.4,0%,0%,100%,0%,0%,0%
20034975,Humanities,History,Arizona State University,History,44,39.87,,,40,71,11.8,2.1%,61.7%,0%,0%,33.3%,0%
20037901,Humanities,History,Auburn University,History,25,25,8%,84%,25,62,8.2,0%,62.2%,0%,0%,0%,0%
20036151,Humanities,History,Boston College,History,33,30.07,9%,88%,28,56,8,0%,53.6%,85.7%,0%,0%,0%
20059196,Humanities,History,Boston University,History,12,10.6,25%,75%,12,37,4.4,0%,44.8%,60%,0%,0%,0%
20034784,Humanities,History,Bowling Green State University,History,21,17.92,5%,76%,21,23,3.6,13%,43.5%,0%,0%,0%,0%
20024985,Humanities,History,Brandeis University,American History,9,6.88,0%,100%,9,33,4.6,0%,0%,100%,0%,0%,0%
20025036,Humanities,History,Brandeis University,Comparative History,11,9.43,0%,91%,10,26,3,0%,0%,100%,0%,0%,0%
20018357,Humanities,History,Brown University,History,52,33.72,12%,46%,36,62,13.6,0%,50%,75%,0%,0%,0%
20071271,Humanities,History,Carnegie Mellon University,History,19,18.32,0%,68%,19,31,5.2,0%,58.1%,75%,0%,0%,0%
20019165,Humanities,History,Case Western Reserve University,History,22,16.25,14%,77%,13,22,3.2,0%,10.5%,100%,0%,0%,0%
20052229,Humanities,History,Catholic University of America,History,17,14.33,12%,88%,15,29,3.8,0%,50%,0%,0%,0%,0%
20057237,Humanities,History,City University of New York Grad. Center,History,65,61.39,8%,95%,65,136,23.4,0%,0%,0%,0%,8.3%,0%
20066833,Humanities,History,Clark University,History,13,11.5,15%,77%,10,12,3.8,0%,0%,50%,0%,50%,0%
20018001,Humanities,History,Claremont Graduate University,History,20,10.67,0%,90%,10,60,6.2,0%,0%,,,,
20045045,Humanities,History,College of William And Mary,Early American and United States History,27,22.49,30%,74%,27,37,7,0%,62.2%,0%,0%,0%,0%
20057680,Humanities,History,Columbia University In The City of New York,History,54,49.55,11%,61%,52,190,21,0%,0%,66.7%,16.7%,0%,0%
20015839,Humanities,History,Cornell University,History,51,44.33,22%,73%,49,71,12.2,0%,25.4%,100%,0%,0%,0%
20030089,Humanities,History,Duke University,History,44,40.16,11%,70%,41,66,10.2,0%,19.7%,16.7%,0%,83.3%,0%
20062028,Humanities,History,Emory University,History,44,36.6,18%,82%,36,71,11.4,0%,2.8%,100%,0%,0%,0%
20034645,Humanities,History,Florida International University,History,19,18.5,0%,74%,19,43,9.2,10%,40%,0%,0%,0%,0%
20027296,Humanities,History,Florida State University,History,28,28,25%,68%,28,69,12.6,7.1%,71.4%,0%,0%,0%,0%
20029472,Humanities,History,Fordham University,History,26,25.45,4%,65%,26,31,2.4,0%,0%,0%,0%,0%,20%
20019437,Humanities,History,George Washington University,History,23,20.76,4%,91%,20,65,9.6,5.7%,22.6%,25%,0%,0%,0%
20023012,Humanities,History,Georgetown University,History,55,46.08,9%,82%,42,95,14.4,2.2%,40%,11.1%,11.1%,0%,0%
20062840,Humanities,History,Georgia Institute of Technology,"Architecture (subfield: History, Theory & Criticism)",5,4,20%,80%,3,15,2,15.4%,30.8%,100%,0%,0%,0%
20062950,Humanities,History,Georgia Institute of Technology,History&Sociology of Technology&Science/History of Tech,19,18.5,21%,79%,19,19,3,30.8%,46.2%,50%,0%,0%,0%
20051521,Humanities,History,Georgia State University,History,28,26,36%,57%,24,43,10.8,0%,59.3%,0%,0%,0%,0%
20066082,Humanities,History,Harvard University,Hist. & East Asian Lang.,17,1.18,0%,,11,25,1.6,0%,0%,66.7%,33.3%,0%,0%
20066105,Humanities,History,Harvard University,History,78,47.92,9%,,56,125,17.2,0%,0%,72.7%,18.2%,9.1%,0%
20066121,Humanities,History,Harvard University,History of Science,31,15.91,10%,,15,44,7.6,0%,0%,37.5%,25%,37.5%,0%
20026022,Humanities,History,Howard University,History,16,16,0%,69%,16,38,12,37.5%,0%,100%,,,
20046390,Humanities,History,Indiana University At Bloomington,History,95,54.32,13%,81%,53,143,24.4,11.9%,18.9%,64.7%,17.6%,0%,0%
20046400,Humanities,History,Indiana University At Bloomington,History & Philosophy of Science,20,8.58,15%,80%,10,23,3.4,8.7%,34.8%,57.1%,0%,0%,0%
20016249,Humanities,History,Iowa State University,Agricultural History and Rural Studies,14,11.5,36%,64%,12,14,2,0%,50%,0%,0%,0%,0%
20016498,Humanities,History,Iowa State University,History of Technology & Science,15,8.84,20%,80%,7,11,1.6,11.1%,66.7%,0%,0%,0%,0%
20056746,Humanities,History,Johns Hopkins University,History,37,31.21,3%,86%,31,70,11.8,5.6%,43.7%,,16.7%,16.7%,0%
20056762,Humanities,History,Johns Hopkins University,"History of Science, Medicine, and Technology",14,13.7,21%,50%,14,19,4,15%,40%,100%,0%,0%,0%
20028622,Humanities,History,Kansas State University,History,20,20,5%,75%,20,43,5.2,0%,35.9%,,,,
20039488,Humanities,History,Lehigh University,History,14,13,7%,86%,12,24,5,0%,30.8%,,,,
20058142,Humanities,History,Louisiana State University And Agricultural And Mechanical College,History,32,23.39,19%,75%,23,27,7.8,0%,88.2%,0%,0%,0%,0%
20036546,Humanities,History,Loyola University Chicago,History,29,27,7%,86%,25,45,5.2,0%,7.9%,20%,0%,0%,0%
20040930,Humanities,History,Marquette University,History,16,16,25%,56%,16,34,3.6,0%,40%,0%,0%,0%,0%
20021153,Humanities,History,Miami University,History,30,22.97,10%,90%,20,8,2.5,0%,100%,0%,0%,0%,0%
20047001,Humanities,History,Michigan State University,History,77,49.97,19%,79%,47,59,10.2,10.2%,39%,9.1%,0%,0%,0%
20024493,Humanities,History,Mississippi State University,History,26,25.5,15%,69%,26,21,4.2,14.3%,85.7%,0%,0%,0%,0%
20064356,Humanities,History,New York University,History,54,38.88,9%,87%,43,105,13.8,0%,37.8%,100%,0%,0%,0%
20031907,Humanities,History,Northeastern University,History,16,14.15,6%,75%,14,9,2,0%,22.2%,25%,0%,75%,0%
20068925,Humanities,History,Northwestern University,History,57,40.31,16%,82%,41,67,14.4,0%,35.8%,92.9%,7.1%,0%,0%
20040367,Humanities,History,Northern Illinois University,History,26,26,12%,62%,26,32,3.6,4.2%,37.5%,0%,0%,0%,0%
20029074,Humanities,History,Ohio State University Main Campus,History,67,65.76,10%,82%,66,136,29,1.5%,70.9%,19.4%,0%,0%,0%
20013828,Humanities,History,Ohio University Main Campus,History,32,26.96,16%,63%,25,21,3.4,,,,,,
20042019,Humanities,History,Oklahoma State University Main Campus,History,21,20.5,19%,71%,21,27,4,0%,42.9%,0%,0%,0%,0%
20031473,Humanities,History,Penn State University,History,73,41.81,8%,85%,45,39,5.2,7.4%,44.4%,0%,0%,0%,0%
20032540,Humanities,History,Princeton University,History,54,32.58,9%,76%,39,75,15.8,0%,0%,72.2%,5.6%,0%,0%
20032553,Humanities,History,Princeton University,History of Science,11,4.25,27%,82%,5,16,3.6,0%,0%,60%,0%,0%,0%
20055909,Humanities,History,Purdue University Main Campus,History,41,33.12,22%,76%,35,51,11,8.7%,73.9%,0%,0%,0%,0%
20041146,Humanities,History,Rice University,History,39,21.97,8%,79%,19,36,8.8,0%,0%,86.7%,,,
20012599,Humanities,History,Rutgers The State University of New Jersey New Brunswick Campus,History,73,71.67,3%,75%,73,130,15.6,12.1%,37.4%,94.1%,0%,0%,0%
20040480,Humanities,History,Southern Illinois University Carbondale,Historical Studies,37,30.59,11%,70%,27,23,2.8,0%,75%,0%,0%,0%,0%
20043296,Humanities,History,Southern Methodist University,History,22,21.5,14%,86%,21,22,3.4,0%,0%,100%,0%,0%,0%
20052656,Humanities,History,Stanford University,History,52,41.99,19%,63%,40,92,17.6,12%,10.9%,83.3%,11.1%,0%,0%
20033646,Humanities,History,State University of New York At Albany,History,22,21.92,18%,64%,22,60,8,0%,47.8%,0%,0%,0%,0%
20037493,Humanities,History,State University of New York At Binghamton,History,35,26.08,14%,63%,26,98,17.4,1.8%,60.7%,5.3%,0%,0%,0%
20038573,Humanities,History,State University of New York At Buffalo,History,35,29.21,,,28,38,6.4,0%,0%,0%,83.3%,0%,0%
20038201,Humanities,History,State University of New York At Stony Brook,History,33,28.65,21%,79%,30,94,13.6,0%,43.4%,0%,0%,5.6%,0%
20022589,Humanities,History,Syracuse University Main Campus,History,27,22.25,19%,70%,22,52,6.8,0%,27.7%,33.3%,0%,0%,0%
20042268,Humanities,History,Temple University,History,35,35,11%,89%,35,92,13.6,5.7%,20.8%,18.8%,0%,0%,0%
20017390,Humanities,History,Texas Christian University,History,17,15,0%,6%,13,40,11,0%,60%,10%,0%,0%,0%
20021991,Humanities,History,Texas A & M University,History,48,47.5,27%,69%,47,42,9,0%,70%,0%,0%,15%,0%
20029663,Humanities,History,Tufts University,History,13,12.6,0%,77%,13,3,1,33.3%,33.3%,0%,0%,0%,0%
20025858,Humanities,History,Tulane University,History,22,21,14%,68%,20,37,6.2,5.4%,16.2%,100%,0%,0%,0%
20041777,Humanities,History,University of Alabama,History,20,20,5%,75%,20,24,3.2,0%,60%,0%,0%,0%,0%
20034043,Humanities,History,University of Arizona,History,34,30.9,9%,,30,59,10.2,0%,63.5%,26.3%,0%,0%,0%
20013666,Humanities,History,University of Arkansas Main Campus,History,24,21.59,21%,71%,20,32,4.6,15.8%,57.9%,0%,0%,40%,0%
20060978,Humanities,History,University of California-Berkeley,History,66,56.47,14%,83%,58,193,30.2,0%,40.9%,88.5%,0%,0%,0%
20067227,Humanities,History,University of California-Davis,History,31,30.5,16%,81%,31,94,15.8,4.8%,27.7%,13.3%,0%,60%,0%
20049193,Humanities,History,University of California-Irvine,History,45,41.18,16%,82%,43,80,15.8,22.5%,28.8%,100%,0%,0%,0%
20053396,Humanities,History,University of California-Los Angeles,History,101,74.36,7%,88%,82,196,35.4,1%,14.4%,2.6%,30.8%,15.4%,7.7%
20048864,Humanities,History,University of California-Riverside,History,29,24.63,14%,76%,22,56,12.2,1.9%,27.8%,28.6%,0%,0%,0%
20065643,Humanities,History,University of California-San Diego,History,39,38.9,21%,77%,39,72,12.6,0%,40.3%,38.5%,15.4%,7.7%,0%
20070298,Humanities,History,University of California-Santa Barbara,History,78,55.48,8%,90%,54,120,22.6,0%,15.8%,20%,10%,10%,15%
20023685,Humanities,History,University of California-Santa Cruz,History,39,29.52,13%,87%,34,29,6.4,0%,58.6%,100%,0%,0%,0%
20014403,Humanities,History,University of Chicago,History,118,52.97,8%,87%,49,270,31.6,0%,0%,62.5%,4.2%,0%,0%
20032139,Humanities,History,University of Cincinnati Main Campus,History,20,20,5%,85%,20,19,2.8,0%,75%,0%,0%,16.7%,0%
20064013,Humanities,History,University of Colorado At Boulder,History,32,31.45,25%,66%,31,48,6.8,5.9%,26.5%,16.7%,0%,0%,0%
20024082,Humanities,History,University of Connecticut,History PhD,39,32,8%,72%,32,44,7.33,0%,21.9%,0%,0%,25%,0%
20012214,Humanities,History,University of Delaware,History,27,26.23,11%,81%,27,68,10.4,0%,3%,4.5%,0%,22.7%,4.5%
20013187,Humanities,History,University of Florida,History,46,45.19,7%,72%,45,78,16.2,11.5%,51.3%,25%,0%,0%,8.3%
20019770,Humanities,History,University of Georgia,History,35,34.86,20%,80%,35,42,8.4,0%,32.1%,0%,0%,0%,0%
20014791,Humanities,History,University of Hawaii At Manoa,History,30,30,17%,83%,30,40,5.4,0%,55%,,,,
20067625,Humanities,History,University of Idaho,History,15,10.25,27%,87%,7,5,1,0%,0%,0%,0%,0%,0%
20042899,Humanities,History,University of Illinois At Chicago,History,42,36.65,17%,86%,33,60,7.8,1.4%,41.7%,30%,0%,0%,0%
20039051,Humanities,History,University of Illinois At Urbana-Champaign,History,71,55.13,23%,72%,58,123,20.8,6.8%,31.4%,50%,4.5%,22.7%,0%
20020604,Humanities,History,University of Iowa,History,33,30.46,24%,73%,33,83,8.8,6%,37.3%,30%,0%,0%,0%
20051194,Humanities,History,University of Kansas,History,29,27.52,34%,59%,27,66,12,1.7%,53.3%,25%,0%,0%,0%
20028237,Humanities,History,University of Kentucky,History,57,32.76,7%,91%,29,55,11.8,8%,26%,22.2%,0%,11.1%,0%
20050263,Humanities,History,University of Maryland College Park,History,54,48.42,17%,85%,49,103,18.2,2.4%,42.7%,75%,0%,0%,0%
20027872,Humanities,History,University of Memphis,History,29,26.5,7%,72%,24,50,8.8,0%,34.5%,0%,0%,0%,0%
20047991,Humanities,History,University of Massachusetts Amherst,History,47,34.42,15%,70%,30,19,3,0%,69.2%,0%,0%,0%,0%
20050849,Humanities,History,University of Miami,History,27,20.58,4%,67%,20,17,2.6,0%,76.5%,0%,0%,0%,0%
20035482,Humanities,History,University of Michigan-Ann Arbor,History,107,61.71,7%,90%,84,94,20.6,0%,51.1%,100%,0%,0%,0%
20039983,Humanities,History,University of Minnesota-Twin Cities,History,62,51.03,18%,77%,57,140,19.4,6.8%,35.6%,18.8%,0%,6.3%,6.3%
20040008,Humanities,History,University of Minnesota-Twin Cities,History of Science and Technology,10,9.25,20%,70%,10,25,4,11.8%,35.3%,0%,0%,66.7%,0%
